model,image,true_class,pred_class,correct,iou
Nano,98e509e3-8e6d-4b73-af16-04d71804a0fa.jpg,MCB,MAINBREAKER,False,0.9307409813470806
Nano,98e509e3-8e6d-4b73-af16-04d71804a0fa.jpg,RCD,RCD,True,0.9066835703448749
Nano,98e509e3-8e6d-4b73-af16-04d71804a0fa.jpg,RCD,RCD,True,0.9060706184976479
Nano,98e509e3-8e6d-4b73-af16-04d71804a0fa.jpg,MCB,MCB,True,0.8484559251554129
Nano,98e509e3-8e6d-4b73-af16-04d71804a0fa.jpg,MCB,MCB,True,0.873821957721474
Nano,98e509e3-8e6d-4b73-af16-04d71804a0fa.jpg,RCD,RCD,True,0.8405731632523328
Nano,98e509e3-8e6d-4b73-af16-04d71804a0fa.jpg,OTHER,OTHER,True,0.6333790041610726
Nano,98e509e3-8e6d-4b73-af16-04d71804a0fa.jpg,RCD,RCD,True,0.9358685787570793
Nano,98e509e3-8e6d-4b73-af16-04d71804a0fa.jpg,OTHER,OTHER,True,0.8100417102092964
Nano,98e509e3-8e6d-4b73-af16-04d71804a0fa.jpg,RCD,RCD,True,0.8726546481147471
Nano,98e509e3-8e6d-4b73-af16-04d71804a0fa.jpg,MCB,MAINBREAKER,False,0.9587473000365968
Nano,98e509e3-8e6d-4b73-af16-04d71804a0fa.jpg,MCB,MAINBREAKER,False,0.9007550441244401
Nano,98e509e3-8e6d-4b73-af16-04d71804a0fa.jpg,MCB,MCB,True,0.9320146981791492
Nano,bd224dae-2a2e-4846-b248-b2ac2ea6ade4.jpg,MAINBREAKER,MAINBREAKER,True,0.9034858534560885
Nano,bd224dae-2a2e-4846-b248-b2ac2ea6ade4.jpg,RCD,RCD,True,0.8863432461545661
Nano,bd224dae-2a2e-4846-b248-b2ac2ea6ade4.jpg,MCB,MCB,True,0.9043280508909336
Nano,bd224dae-2a2e-4846-b248-b2ac2ea6ade4.jpg,MCB,MCB,True,0.8534361744980913
Nano,bd224dae-2a2e-4846-b248-b2ac2ea6ade4.jpg,MCB,MCB,True,0.8677015718647978
Nano,bd224dae-2a2e-4846-b248-b2ac2ea6ade4.jpg,MCB,MCB,True,0.8765277599731331
Nano,c14de4ec-f0a8-478f-8f5a-f5995345b265.jpg,RCD,RCD,True,0.9406996132419484
Nano,c14de4ec-f0a8-478f-8f5a-f5995345b265.jpg,RCD,RCD,True,0.9652819880220675
Nano,c14de4ec-f0a8-478f-8f5a-f5995345b265.jpg,MCB,MCB,True,0.8762171090043637
Nano,c14de4ec-f0a8-478f-8f5a-f5995345b265.jpg,MCB,MCB,True,0.8642672065764393
Nano,c14de4ec-f0a8-478f-8f5a-f5995345b265.jpg,MCB,MCB,True,0.960467227419527
Nano,c14de4ec-f0a8-478f-8f5a-f5995345b265.jpg,RCD,RCD,True,0.9050460009948287
Nano,c14de4ec-f0a8-478f-8f5a-f5995345b265.jpg,MCB,MCB,True,0.8836824125571753
Nano,c14de4ec-f0a8-478f-8f5a-f5995345b265.jpg,MCB,MCB,True,0.9324260099736735
Nano,c14de4ec-f0a8-478f-8f5a-f5995345b265.jpg,MCB,MCB,True,0.8966658335438132
Nano,c14de4ec-f0a8-478f-8f5a-f5995345b265.jpg,MCB,MCB,True,0.870936288751907
Nano,c14de4ec-f0a8-478f-8f5a-f5995345b265.jpg,MCB,OTHER,False,0.8348276738764584
Nano,c14de4ec-f0a8-478f-8f5a-f5995345b265.jpg,MCB,MCB,True,0.889016240612684
Nano,c14de4ec-f0a8-478f-8f5a-f5995345b265.jpg,RCD,RCD,True,0.876689240083807
Nano,c14de4ec-f0a8-478f-8f5a-f5995345b265.jpg,MCB,MCB,True,0.9294622269679126
Nano,FRANCE_8609f1fb-0aba-4a22-9038-9dc8faf163df.jpg,RCD,RCD,True,0.9498100517277392
Nano,FRANCE_8609f1fb-0aba-4a22-9038-9dc8faf163df.jpg,MCB,MCB,True,0.933974433418719
Nano,FRANCE_8609f1fb-0aba-4a22-9038-9dc8faf163df.jpg,MCB,MCB,True,0.8964403146398318
Nano,FRANCE_8609f1fb-0aba-4a22-9038-9dc8faf163df.jpg,MCB,MCB,True,0.9680956318950983
Nano,FRANCE_8609f1fb-0aba-4a22-9038-9dc8faf163df.jpg,MCB,MCB,True,0.932981384323003
Nano,FRANCE_8609f1fb-0aba-4a22-9038-9dc8faf163df.jpg,MCB,MCB,True,0.9403140991306645
Nano,FRANCE_8609f1fb-0aba-4a22-9038-9dc8faf163df.jpg,MCB,MCB,True,0.8578716611519005
Nano,FRANCE_8609f1fb-0aba-4a22-9038-9dc8faf163df.jpg,MCB,MCB,True,0.954932936945745
Nano,FRANCE_8609f1fb-0aba-4a22-9038-9dc8faf163df.jpg,MCB,MCB,True,0.8940781554681198
Nano,FRANCE_8609f1fb-0aba-4a22-9038-9dc8faf163df.jpg,MCB,MCB,True,0.9412469272651629
Nano,FRANCE_8609f1fb-0aba-4a22-9038-9dc8faf163df.jpg,MCB,MCB,True,0.8596534170711088
Nano,FRANCE_8609f1fb-0aba-4a22-9038-9dc8faf163df.jpg,MCB,MCB,True,0.903679786522575
Nano,FRANCE_8609f1fb-0aba-4a22-9038-9dc8faf163df.jpg,MCB,MCB,True,0.8373585443616103
Nano,scraped_approved_1782573685_4.jpg,RCD_SI,RCD,False,0.9454677469525701
Nano,scraped_approved_1782573685_4.jpg,MAINBREAKER,RCD,False,0.8490237760386621
Nano,scraped_approved_1782573685_4.jpg,RCD,MCB,False,0.8876467033848009
Nano,scraped_approved_1782573685_4.jpg,RCD,MCB,False,0.8271943466076681
Nano,scraped_approved_1782573685_4.jpg,RCD,MCB,False,0.8652301871384813
Nano,scraped_approved_1782573685_4.jpg,RCD,OVERSURGE,False,0.446359734763196
Nano,scraped_approved_1782573693_6.png,MCB,MCB,True,0.5786295553759501
Nano,scraped_approved_1782573693_6.png,MAINBREAKER,RCD,False,0.5457987880070121
Nano,scraped_approved_1782573693_6.png,RCD,MCB,False,0.5829465437612501
Nano,scraped_approved_1782573693_6.png,RCD,MCB,False,0.6030298244808062
Nano,scraped_approved_1782573693_6.png,RCD,MCB,False,0.6017682739957757
Nano,scraped_approved_1782573719_15.jpg,MCB,MCB,True,0.9052165378782837
Nano,scraped_approved_1782573719_15.jpg,MAINBREAKER,RCD,False,0.9048242364146575
Nano,scraped_approved_1782573719_15.jpg,RCD,MCB,False,0.8628581620172658
Nano,scraped_approved_1782573719_15.jpg,RCD,MCB,False,0.4657223400918575
Nano,scraped_approved_1782573719_15.jpg,RCD,MCB,False,0.8719512026619434
Nano,scraped_approved_1782573719_15.jpg,RCD,MCB,False,0.6358225480383025
Nano,scraped_approved_1782573719_15.jpg,RCD,MCB,False,0.8405414857625848
Nano,scraped_approved_1782573719_15.jpg,RCD,RCD,True,0.47832787940976934
Nano,scraped_approved_1782573725_19.jpg,MCB,MAINBREAKER,False,0.8485137479107854
Nano,scraped_approved_1782573725_19.jpg,MCB,MAINBREAKER,False,0.8235271002486242
Nano,scraped_approved_1782573725_19.jpg,MAINBREAKER,RCD,False,0.9549503290518966
Nano,scraped_approved_1782573725_19.jpg,RCD,MCB,False,0.9196095105984058
Nano,scraped_approved_1782573725_19.jpg,RCD,MCB,False,0.7982240761335287
Nano,scraped_approved_1782573725_19.jpg,MAINBREAKER,RCD,False,0.9001382136440004
Nano,scraped_approved_1782573725_19.jpg,RCD,MCB,False,0.9180068843850914
Nano,scraped_approved_1782573725_19.jpg,RCD,MCB,False,0.8810743194377815
Nano,scraped_approved_1782573725_19.jpg,RCD,MCB,False,0.8760177498429742
Nano,scraped_approved_1782573726_20.jpg,MCB,MAINBREAKER,False,0.8511811956414392
Nano,scraped_approved_1782573726_20.jpg,RCD,MCB,False,0.8141404530936193
Nano,scraped_approved_1782573726_20.jpg,MCB,MAINBREAKER,False,0.8538614981198088
Nano,scraped_approved_1782573726_20.jpg,RCD,MCB,False,0.8362364541954358
Nano,scraped_approved_1782573726_20.jpg,MAINBREAKER,RCD,False,0.8643766871588999
Nano,scraped_approved_1782573726_20.jpg,RCD,MCB,False,0.7999744845621467
Nano,scraped_approved_1782573726_20.jpg,RCD,MCB,False,0.9560625930752228
Nano,scraped_approved_1782573726_20.jpg,RCD,MCB,False,0.8325010208034302
Nano,scraped_approved_1782573726_20.jpg,RCD,MCB,False,0.8775543410129653
Nano,scraped_approved_1782573726_20.jpg,RCD,MCB,False,0.8875991710808471
Nano,scraped_approved_1782573732_25.jpg,MAINBREAKER,MAINBREAKER,True,0.9767000311161286
Nano,scraped_approved_1782573732_25.jpg,MAINBREAKER,MAINBREAKER,True,0.9868224559502965
Nano,scraped_approved_1782573732_25.jpg,RCD,RCD,True,0.98115511064919
Nano,scraped_approved_1782573732_25.jpg,RCD,RCD,True,0.9741836643103723
Nano,scraped_approved_1782573732_25.jpg,MCB,MCB,True,0.9313693199344895
Nano,scraped_approved_1782573732_25.jpg,MCB,RCD,False,0.9584283843211675
Nano,scraped_approved_1782573732_25.jpg,MCB,MCB,True,0.9586324483319341
Nano,scraped_approved_1782573732_25.jpg,MCB,MCB,True,0.9083408209556664
Nano,scraped_approved_1782573732_25.jpg,MCB,MCB,True,0.9245550924689395
Nano,scraped_approved_1782573732_25.jpg,MCB,MCB,True,0.9400424886150074
Nano,scraped_approved_1782573732_25.jpg,MCB,MCB,True,0.9526652678447577
Nano,scraped_approved_1782573735_27.jpg,MAINBREAKER,MAINBREAKER,True,0.9880764935021393
Nano,scraped_approved_1782573735_27.jpg,RCD,RCD,True,0.9375016046085303
Nano,scraped_approved_1782573735_27.jpg,MCB,MCB,True,0.9726086146601638
Nano,scraped_approved_1782573735_27.jpg,MCB,RCD,False,0.9240401297593187
Nano,scraped_approved_1782573735_27.jpg,MCB,MCB,True,0.9491983108295323
Nano,scraped_approved_1782573735_27.jpg,MCB,RCD,False,0.9379919673063661
Nano,scraped_approved_1782573735_27.jpg,MCB,RCD,False,0.9708836477535989
Nano,scraped_approved_1782573741_30.jpg,MCB,RCD,False,0.9244337828884803
Nano,scraped_approved_1782573741_30.jpg,MCB,MCB,True,0.4361355930342645
